2026-01-19 18:50:00,670 INFO    MainThread:29241 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_setup.py:_flush():80] Configure stats pid to 29241
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_setup.py:_flush():80] Loading settings from /home/dpy/.config/wandb/settings
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_setup.py:_flush():80] Loading settings from /home/dpy/projects/D2C-XJTU-3.8/example/isaacgym/wandb/settings
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /home/dpy/projects/D2C-XJTU-3.8/example/isaacgym/models/sac/agent/1211/seed58/agent_train_log/wandb/run-20260119_185000-3vc27d16/logs/debug.log
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /home/dpy/projects/D2C-XJTU-3.8/example/isaacgym/models/sac/agent/1211/seed58/agent_train_log/wandb/run-20260119_185000-3vc27d16/logs/debug-internal.log
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_init.py:init():840] calling init triggers
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'model_name': 'sac', 'model_params': "{'q': [[256, 256], 2], 'p': [[256, 256]]}", 'optimizers': "{'q': ['adam', 0.0003], 'p': ['adam', 0.0003], 'alpha': ['adam', 0.0003]}", 'rollout_sim_num': '100', 'env_external': {'benchmark_name': 'isaacgym', 'data_source': 'real_world', 'env_name': 'pointfoot', 'data_name': 'halfcheetah_medium_replay-v2', 'data_file_path': None, 'state_normalize': False, 'reward_normalize': False, 'num_transitions': -1, 'score_normalize': False, 'score_norm_min': None, 'score_norm_max': None, 'task': 'pointfoot_flat', 'resume': False, 'headless': True, 'num_envs': 20}, 'device': 'cuda', 'test_data_ratio': 0.1, 'batch_size': 256, 'update_freq': 1, 'update_rate': 0.005, 'discount': 0.99, 'total_train_steps': 1000000, 'seed': 58, 'action_noise': None, '_wandb': {}}
2026-01-19 18:50:00,671 INFO    MainThread:29241 [wandb_init.py:init():888] starting backend
2026-01-19 18:50:00,913 INFO    MainThread:29241 [wandb_init.py:init():891] sending inform_init request
2026-01-19 18:50:00,930 INFO    MainThread:29241 [wandb_init.py:init():899] backend started and connected
2026-01-19 18:50:00,932 INFO    MainThread:29241 [wandb_init.py:init():969] updated telemetry
2026-01-19 18:50:00,962 INFO    MainThread:29241 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2026-01-19 18:50:02,517 INFO    MainThread:29241 [wandb_init.py:init():1040] starting run threads in backend
2026-01-19 18:50:02,563 INFO    MainThread:29241 [wandb_run.py:_console_start():2504] atexit reg
2026-01-19 18:50:02,564 INFO    MainThread:29241 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2026-01-19 18:50:02,564 INFO    MainThread:29241 [wandb_run.py:_redirect():2421] Wrapping output streams.
2026-01-19 18:50:02,564 INFO    MainThread:29241 [wandb_run.py:_redirect():2444] Redirects installed.
2026-01-19 18:50:02,565 INFO    MainThread:29241 [wandb_init.py:init():1080] run started, returning control to user process
2026-01-19 18:50:02,582 INFO    wandb-AsyncioManager-main:29241 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-19 18:50:02,582 INFO    wandb-AsyncioManager-main:29241 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
