2026-02-09 15:21:45,091 INFO    MainThread:8474 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_setup.py:_flush():80] Configure stats pid to 8474
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_setup.py:_flush():80] Loading settings from /home/dpy/.config/wandb/settings
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_setup.py:_flush():80] Loading settings from /home/dpy/projects/D2C-XJTU-3.8/example/isaacgym/wandb/settings
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /home/dpy/projects/D2C-XJTU-3.8/example/isaacgym/wandb/offline-run-20260209_152145-omrc6hwv/logs/debug.log
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /home/dpy/projects/D2C-XJTU-3.8/example/isaacgym/wandb/offline-run-20260209_152145-omrc6hwv/logs/debug-internal.log
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_init.py:init():840] calling init triggers
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-02-09 15:21:45,092 INFO    MainThread:8474 [wandb_init.py:init():888] starting backend
2026-02-09 15:21:45,354 INFO    MainThread:8474 [wandb_init.py:init():891] sending inform_init request
2026-02-09 15:21:45,375 INFO    MainThread:8474 [wandb_init.py:init():899] backend started and connected
2026-02-09 15:21:45,376 INFO    MainThread:8474 [wandb_init.py:init():969] updated telemetry
2026-02-09 15:21:45,411 INFO    MainThread:8474 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2026-02-09 15:21:45,509 INFO    MainThread:8474 [wandb_init.py:init():1040] starting run threads in backend
2026-02-09 15:21:45,553 INFO    MainThread:8474 [wandb_run.py:_console_start():2504] atexit reg
2026-02-09 15:21:45,553 INFO    MainThread:8474 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2026-02-09 15:21:45,553 INFO    MainThread:8474 [wandb_run.py:_redirect():2421] Wrapping output streams.
2026-02-09 15:21:45,553 INFO    MainThread:8474 [wandb_run.py:_redirect():2444] Redirects installed.
2026-02-09 15:21:45,554 INFO    MainThread:8474 [wandb_init.py:init():1080] run started, returning control to user process
2026-02-09 15:21:45,673 INFO    wandb-AsyncioManager-main:8474 [service_client.py:_forward_responses():80] Reached EOF.
2026-02-09 15:21:45,673 INFO    wandb-AsyncioManager-main:8474 [mailbox.py:close():137] Closing mailbox, abandoning 0 handles.
